Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1/1/1991,0,-19.6,-15.6,-11.6,-17.6,0,0.8
1/2/1991,0,-19.3,-12.3,-5.3,-12.3,0.18,1.63
1/3/1991,0.59,-10.6,-5.1,0.4,-7.9,0.2,2.51
1/4/1991,0,-15.8,-11.9,-7.9,-14.7,0.03,1.45
1/5/1991,0,-13.3,-8.7,-4.1,-13,0.11,2.31
1/6/1991,1.15,-10.5,-6.6,-2.6,-8.2,0.41,2.16
1/7/1991,0,-9.5,-5.6,-1.7,-7.6,0.43,1.46
1/8/1991,0,-23.8,-16.4,-9.1,-20.3,0.05,1.53
1/9/1991,0,-23.4,-16.9,-10.4,-19.6,0.23,1.34
1/10/1991,3.78,-12.4,-7.1,-1.8,-8,0.06,1.37
1/11/1991,0,-24.2,-15.2,-6.3,-21.4,0.11,1.74
1/12/1991,18.2,-22.4,-17.4,-12.4,-18.3,0.2,0.92
1/13/1991,1.46,-14.2,-9.8,-5.3,-10.2,0.12,0.8
1/14/1991,0,-19.5,-14.4,-9.2,-15.4,0.03,0.77
1/15/1991,0,-17.2,-11.3,-5.4,-11.3,0.26,1.1
1/16/1991,0,-4.9,-2.7,-0.5,-3.6,0.29,0.9
1/17/1991,12.89,-4.1,-1.3,1.5,-1.3,0,0.79
1/18/1991,1.38,-4,-1.7,0.5,-3.8,0,1.47
1/19/1991,1.78,-17,-9.8,-2.7,-11.3,0.2,1.64
1/20/1991,0,-17,-10.5,-4,-10.5,0.49,2.09
1/21/1991,0,-16.8,-7.7,1.3,-10.8,0.34,2.08
1/22/1991,0,-28.1,-20.2,-12.4,-23.5,0.06,1.13
1/23/1991,0,-27.3,-21.6,-15.9,-24.8,0.07,0.66
1/24/1991,0.27,-23.2,-13.8,-4.4,-13.8,0.33,2.19
1/25/1991,0.29,-26.2,-15.5,-4.9,-18.4,0.25,2.14
1/26/1991,0,-25,-19.9,-14.9,-24.6,0.22,0.94
1/27/1991,0,-19.5,-13.3,-7,-15.2,0.28,1.9
