Date,ANC_all
9/3/1991,150.88
9/10/1991,158.87
9/17/1991,135.89
9/24/1991,144.89
9/30/1991,128.89
10/8/1991,111.91
10/15/1991,113.91
10/21/1991,121.91
10/29/1991,133.9
11/5/1991,131.9
11/12/1991,113.91
11/19/1991,130.9
11/26/1991,114.91
12/3/1991,120.91
12/10/1991,104.91
12/17/1991,106.91
12/24/1991,90.13
12/31/1991,122.91
1/7/1992,114.91
1/14/1992,88.74
1/21/1992,109.91
1/28/1992,109.91
2/5/1992,116.91
2/11/1992,125.9
2/18/1992,130.9
2/25/1992,119.91
3/3/1992,128.9
3/17/1992,115.91
3/24/1992,119.91
3/26/1992,114.26
3/27/1992,108.05
3/30/1992,104.04
3/31/1992,118.31
4/7/1992,108.585
4/8/1992,104.965
4/9/1992,108.64
4/10/1992,107.54
4/11/1992,90.05
4/12/1992,94.98
4/14/1992,98.79
4/16/1992,112.52
4/17/1992,113.15
4/18/1992,114.9
4/19/1992,103.16
4/20/1992,95.92666667
4/21/1992,84.7225
4/22/1992,63.47666667
4/23/1992,71.83
4/24/1992,66.3025
4/25/1992,67.3
4/26/1992,85.38
4/27/1992,67.06
5/1/1992,73.48
5/4/1992,90.73
5/7/1992,91.27
5/12/1992,96.62
5/19/1992,114.265
5/26/1992,123.9
6/2/1992,120.91
6/9/1992,113.695
6/12/1992,121.82
6/16/1992,145.3075
6/23/1992,138.52
6/30/1992,149.28
7/7/1992,135.89
7/10/1992,126.97
7/13/1992,131.67
7/14/1992,143.89
7/21/1992,136.89
7/28/1992,157.88
8/4/1992,140.885
8/11/1992,161.87
8/12/1992,156.04
8/18/1992,146.88
8/24/1992,154.87
8/29/1992,159.67
9/1/1992,164.87
9/4/1992,159.22
9/8/1992,161.88
9/15/1992,153.88
9/18/1992,167.67
9/19/1992,180.21
9/22/1992,129.358
9/25/1992,131.78
9/29/1992,148.88
10/6/1992,134.2525
10/13/1992,145.89
10/20/1992,131.89
10/26/1992,122.21
10/27/1992,120.9
11/3/1992,117.835
11/4/1992,107.69
11/10/1992,126.9
11/17/1992,113.91
11/21/1992,107.3
