"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.87575113555295,0.00540085773010716,902.77348139963,0
"Group1",0.71432390291612,0.0094093066758982,75.9167415327051,0
"prepost.3monthlag-4",-0.00793222712708588,0.00869826172515599,-0.911932450152117,0.362079866432057
"prepost.3monthlag-3",-0.0198960377363616,0.0102780713781511,-1.93577540030089,0.0532483568459928
"prepost.3monthlag-2",-0.00600843466227612,0.00780837954776145,-0.769485477175434,0.441833019211077
"prepost.3monthlag0",-0.0142032401869025,0.00965616862601295,-1.47089811052388,0.141713137421102
"prepost.3monthlag1",-0.0112892612465568,0.0112279088029096,-1.00546428054628,0.31497832724451
"prepost.3monthlag2",-0.00236093382241769,0.00893910564913656,-0.264112978980815,0.791761101613569
"prepost.3monthlag3",0.00162771497425471,0.00589415200856024,0.276157617226488,0.782498559647464
"prepost.3monthlag4",0.0133636090579591,0.00989844468807254,1.35007160004259,0.177376074244091
"prepost.3monthlag5",-0.00389354668153984,0.0116138762407944,-0.335249541222383,0.737525023497894
"prepost.3monthlag6",0.00205294481920537,0.00998352869092827,0.205633186697888,0.837129933182595
"prepost.3monthlag7",0.0104102864694643,0.00742771692295743,1.40154593631435,0.161439951527387
"Group1:prepost.3monthlag-4",-0.00735338688736686,0.0157760247237246,-0.466111521510775,0.641262964932236
"Group1:prepost.3monthlag-3",0.00863590050723489,0.0198672255846573,0.434680749480394,0.663911770894143
"Group1:prepost.3monthlag-2",0.0120628336996291,0.0127599424851655,0.945367403783608,0.344757683440019
"Group1:prepost.3monthlag0",0.177455471876764,0.0172270341833522,10.3009879697256,1.90434453468958e-23
"Group1:prepost.3monthlag1",0.152749199396989,0.0208023773461288,7.34287225231083,5.16628850563606e-13
"Group1:prepost.3monthlag2",0.0434318539328186,0.0143336622349739,3.03005981450057,0.00252402538725472
"Group1:prepost.3monthlag3",0.0631577242214883,0.00827809344869344,7.62950123877337,6.72209614202755e-14
"Group1:prepost.3monthlag4",0.158432922706456,0.0174119860061703,9.099072480894,7.14815076174257e-19
"Group1:prepost.3monthlag5",0.0908960043349792,0.0209259800988233,4.34369161710569,1.58184200777132e-05
"Group1:prepost.3monthlag6",0.0310851942784585,0.0152347643892813,2.04041188194082,0.0416382354697623
"Group1:prepost.3monthlag7",0.0215162853674733,0.011096189293985,1.93906978309542,0.0528452818603359
